att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,fraud
15:20,3548202406645660,kids,46.86,86,M,Make,city593,state43,4074,18767,43.584,-70.346,merchant4,43.846,-71.307,0
14:45,4400011259579660000,home,46.4,39,F,"Nurse, children's",city163,state22,68859,538,41.497,-98.786,merchant23,42.291,-98.051,0
13:05,3501842333500090,kids,4.96,20,F,Counselling psychologist,city68,state36,85086,1312941,33.816,-112.12,merchant673,33.285,-111.895,0
22:33,391274100288808,home,82.24,43,F,Early years teacher,city316,state2,79237,602,34.87,-100.681,merchant174,34.238,-101.522,0
21:49,213161231268924,home,7.9,56,F,Physiological scientist,city65,state18,35901,67153,34.048,-85.925,merchant173,33.885,-85.679,0
07:59,399883105389619,misc,31.32,44,M,Mining engineer,city169,state35,54154,5555,44.876,-88.156,merchant496,45.45,-88.472,0
03:29,3566084909292320,food,124.64,48,F,Health physicist,city404,state40,91321,34942,34.38,-118.523,merchant435,35.175,-118.782,1
23:58,696271992739,health,13.41,69,F,"Editor, commissioning",city338,state24,39897,3456,30.884,-84.325,merchant500,30.718,-84.025,0
23:57,4555104572713490,food,67.77,37,M,Health and safety adviser,city541,state17,18246,160,40.954,-76.175,merchant282,41.798,-75.555,0
03:28,391274424970634,grocery,74.78,67,M,"Doctor, general practice",city658,state2,79413,254354,33.547,-101.887,merchant350,32.717,-101.705,0
17:31,213181402330021,personal,8.58,15,M,"Accountant, chartered public finance",city395,state35,53228,817362,42.968,-88.043,merchant386,43.666,-87.289,0
